symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
AEVAW,2025-06-27,1.0655,1.2,0.17588010000000004,65363.4,1,1.215,0.333,0,,0,,0,,0,,0,,1,1.215,0.34,0,,0,,0,,0,,0,,1,1.215,0.15,0,,0,,0,,0,,0,,0,1.215,0.0059,0,,0,,0,,0,,0,
CGTX,2025-08-12,1.1,1.38,0.46725333333333324,7838002.516666667,1,3.83,1.35,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.69,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.5,1,2.0,1,6.0,1,8.0,1,9.0,0,,1,3.83,1.26,1,2.0,1,6.0,1,8.0,1,9.0,0,
CGTL,2025-12-11,1.14,1.14,0.6112366666666668,1360609.3833333333,1,6.4,3.26,1,18.0,1,18.0,1,18.0,1,20.0,1,23.0,1,6.4,1.34,1,18.0,1,18.0,1,18.0,1,20.0,1,23.0,1,6.4,1.27,1,18.0,1,18.0,1,18.0,1,20.0,1,23.0,0,6.4,0.3756,1,18.0,1,18.0,1,18.0,1,20.0,1,23.0
CCG,2025-02-24,1.16,1.02,0.8657599666666668,240296.18333333332,1,1.54,0.79,1,2.0,0,,0,,0,,0,,1,1.54,0.835,1,2.0,0,,0,,0,,0,,1,1.54,0.75,1,2.0,0,,0,,0,,0,,1,1.54,0.972,1,2.0,0,,0,,0,,0,
CCG,2025-09-02,1.11,1.12,0.783614,150548.3,1,1.54,1.01,1,10.0,0,,0,,0,,0,,1,1.54,0.98,1,10.0,0,,0,,0,,0,,1,1.54,0.8377,1,10.0,0,,0,,0,,0,,1,1.54,0.614,1,10.0,0,,0,,0,,0,
CGCTW,2026-04-23,1.05,1.15,0.7741669833333334,46592.3,1,1.8,1.4,1,23.0,0,,0,,0,,0,,0,1.8,1.4,1,23.0,0,,0,,0,,0,,0,1.8,1.4,1,23.0,0,,0,,0,,0,,0,1.8,1.4,1,23.0,0,,0,,0,,0,
AIRJW,2025-10-06,1.05,1.11,0.7500032,18022.316666666666,1,1.87,0.8531,1,3.0,0,,0,,0,,0,,1,1.87,0.9,1,3.0,0,,0,,0,,0,,1,1.87,0.648,1,3.0,0,,0,,0,,0,,0,1.87,1.19,1,3.0,0,,0,,0,,0,
BCARW,2026-01-13,1.1,1.38,0.3483233333333334,67394.9,1,1.75,0.748,1,1.0,0,,0,,0,,0,,1,1.75,0.88,1,1.0,0,,0,,0,,0,,1,2.164438,2.0,1,1.0,1,88.0,0,,0,,0,,0,2.55,2.0001,1,1.0,1,88.0,1,92.0,0,,0,
CRMLW,2025-07-17,1.08,1.27,0.31172586666666663,96047.68333333333,1,2.67,1.92,1,1.0,1,21.0,1,28.0,0,,0,,1,8.81,7.19,1,1.0,1,21.0,1,28.0,1,55.0,1,56.0,1,20.84,3.05,1,1.0,1,21.0,1,28.0,1,55.0,1,56.0,1,20.84,3.67,1,1.0,1,21.0,1,28.0,1,55.0,1,56.0
GEVO,2024-09-13,1.17,1.25,0.6546866666666666,3563218.2666666666,1,3.39,2.96,1,2.0,1,19.0,1,24.0,1,24.0,0,,1,3.39,1.5,1,2.0,1,19.0,1,24.0,1,24.0,0,,1,3.39,1.855,1,2.0,1,19.0,1,24.0,1,24.0,0,,1,3.39,1.14,1,2.0,1,19.0,1,24.0,1,24.0,0,
EVGOW,2024-10-04,1.12,1.11,0.3263014166666666,72494.53333333334,1,1.99,0.676,1,4.0,0,,0,,0,,0,,1,1.99,0.534301,1,4.0,0,,0,,0,,0,,1,1.99,0.312,1,4.0,0,,0,,0,,0,,1,1.99,0.208,1,4.0,0,,0,,0,,0,
AREC,2024-10-09,1.08,1.1,0.6215233333333334,264148.5833333333,1,1.27,1.06,0,,0,,0,,0,,0,,1,1.34,0.785,0,,0,,0,,0,,0,,1,1.34,0.5743,0,,0,,0,,0,,0,,1,1.68,0.7806,1,130.0,0,,0,,0,,0,
AREC,2025-04-16,1.11,1.255,0.57176335,3190720.0166666666,1,1.68,0.6383,1,1.0,0,,0,,0,,0,,1,1.68,1.4,1,1.0,0,,0,,0,,0,,1,2.26,2.1,1,1.0,1,89.0,0,,0,,0,,1,7.11,3.25,1,1.0,1,89.0,1,91.0,1,108.0,1,123.0
ABLV,2026-05-11,1.05,1.05,0.7008349166666665,390933.06666666665,0,1.205,1.07,0,,0,,0,,0,,0,,0,1.205,1.07,0,,0,,0,,0,,0,,0,1.205,1.07,0,,0,,0,,0,,0,,0,1.205,1.07,0,,0,,0,,0,,0,
ATIIW,2026-04-21,1.17,1.27,0.6343049833333334,23397.583333333332,1,2.57,2.45,1,11.0,1,12.0,1,21.0,0,,0,,0,2.57,2.08,1,11.0,1,12.0,1,21.0,0,,0,,0,2.57,2.08,1,11.0,1,12.0,1,21.0,0,,0,,0,2.57,2.08,1,11.0,1,12.0,1,21.0,0,,0,
AUROW,2024-10-24,1.05,1.0588,0.5226373500000001,104403.66666666667,1,1.6503,1.555,1,30.0,0,,0,,0,,0,,1,2.73,1.28,1,30.0,1,50.0,1,50.0,0,,0,,1,2.9953,1.54,1,30.0,1,50.0,1,50.0,0,,0,,1,2.9953,0.98,1,30.0,1,50.0,1,50.0,0,,0,
FEBO,2025-12-15,1.06,1.03,0.7446158333333334,24183.033333333333,1,1.46,1.14,0,,0,,0,,0,,0,,1,1.46,1.23,0,,0,,0,,0,,0,,1,1.46,1.175,0,,0,,0,,0,,0,,0,1.46,0.84,0,,0,,0,,0,,0,
BYND,2026-04-20,1.16,1.38,0.7356775,35547517.31666667,1,1.4,0.7645,0,,0,,0,,0,,0,,0,1.4,0.7078,0,,0,,0,,0,,0,,0,1.4,0.7078,0,,0,,0,,0,,0,,0,1.4,0.7078,0,,0,,0,,0,,0,
HOVR,2024-12-26,1.15,1.22,0.45591168333333326,4383616.8,1,1.63,0.57,1,1.0,0,,0,,0,,0,,1,1.63,0.5795,1,1.0,0,,0,,0,,0,,1,1.63,0.501,1,1.0,0,,0,,0,,0,,1,2.52,1.72,1,1.0,1,115.0,1,119.0,0,,0,
HOVR,2025-05-29,1.1,1.1,0.5423016500000001,502027.98333333334,1,2.52,1.59,1,10.0,1,11.0,1,15.0,0,,0,,1,2.52,1.61,1,10.0,1,11.0,1,15.0,0,,0,,1,3.09,2.9,1,10.0,1,11.0,1,15.0,1,89.0,0,,1,4.18,1.75,1,10.0,1,11.0,1,15.0,1,89.0,0,
CTMX,2025-05-08,1.09,1.29,0.6755583333333333,2075774.15,1,3.095,2.16,1,2.0,1,2.0,1,3.0,1,24.0,0,,1,3.095,2.37,1,2.0,1,2.0,1,3.0,1,24.0,0,,1,3.095,1.93,1,2.0,1,2.0,1,3.0,1,24.0,0,,1,6.15,5.93,1,2.0,1,2.0,1,3.0,1,24.0,1,174.0
EQ,2025-08-15,1.14,1.13,0.4257433333333333,7933951.166666667,1,2.35,1.46,1,4.0,1,5.0,0,,0,,0,,1,2.35,0.9682,1,4.0,1,5.0,0,,0,,0,,1,2.35,1.35,1,4.0,1,5.0,0,,0,,0,,1,2.7,2.07,1,4.0,1,5.0,1,144.0,0,,0,
COSM,2025-08-06,1.15,1.11,0.505025,395652.98333333334,1,1.14,0.9319,0,,0,,0,,0,,0,,1,1.32,0.9002,0,,0,,0,,0,,0,,1,1.32,0.4414,0,,0,,0,,0,,0,,1,1.32,0.3798,0,,0,,0,,0,,0,
HIT,2025-07-10,1.11,1.12,0.6910783333333332,492707.3333333333,1,3.95,3.42,1,7.0,1,8.0,1,17.0,1,22.0,0,,1,3.95,3.37,1,7.0,1,8.0,1,17.0,1,22.0,0,,1,4.02,1.6,1,7.0,1,8.0,1,17.0,1,22.0,0,,1,4.02,1.39,1,7.0,1,8.0,1,17.0,1,22.0,0,
AERT,2025-06-17,1.18,1.3,0.6762795166666666,101496.3,1,1.5184,0.8766,1,2.0,0,,0,,0,,0,,1,1.5184,0.60575,1,2.0,0,,0,,0,,0,,1,1.5184,0.5902,1,2.0,0,,0,,0,,0,,1,1.5184,0.2919,1,2.0,0,,0,,0,,0,
ABVC,2025-03-31,1.06,1.14,0.5995449999999999,515908.9166666667,1,1.68,1.68,1,30.0,0,,0,,0,,0,,1,2.29,2.19,1,30.0,1,54.0,0,,0,,0,,1,5.48,2.7,1,30.0,1,54.0,1,61.0,1,64.0,1,67.0,1,5.48,2.06,1,30.0,1,54.0,1,61.0,1,64.0,1,67.0
CNTB,2025-06-17,1.08,1.1,0.7612129666666669,139283.88333333333,1,2.86,2.02,1,16.0,1,22.0,1,23.0,0,,0,,1,2.86,1.56,1,16.0,1,22.0,1,23.0,0,,0,,1,2.86,1.7,1,16.0,1,22.0,1,23.0,0,,0,,1,3.28,2.48,1,16.0,1,22.0,1,23.0,1,108.0,0,
CTOR,2025-06-06,1.0501,1.23,0.7812866666666665,1335413.9666666666,1,6.19,1.65,1,4.0,1,9.0,1,9.0,1,9.0,1,14.0,1,6.19,1.97,1,4.0,1,9.0,1,9.0,1,9.0,1,14.0,1,6.19,1.72,1,4.0,1,9.0,1,9.0,1,9.0,1,14.0,1,6.19,1.11,1,4.0,1,9.0,1,9.0,1,9.0,1,14.0
DRTSW,2026-01-15,1.09,1.0,0.3746697666666666,24636.283333333333,1,1.5,1.21,1,27.0,0,,0,,0,,0,,1,1.5,0.94,1,27.0,0,,0,,0,,0,,1,2.99,2.54,1,27.0,1,79.0,1,84.0,0,,0,,0,2.99,2.0,1,27.0,1,79.0,1,84.0,0,,0,
WLACW,2025-09-16,1.15,1.28,0.3331058333333333,10877.2,1,5.73,3.25,1,1.0,1,2.0,1,3.0,1,3.0,1,20.0,1,5.73,3.45,1,1.0,1,2.0,1,3.0,1,3.0,1,20.0,1,5.73,4.05,1,1.0,1,2.0,1,3.0,1,3.0,1,20.0,0,9.65,8.34,1,1.0,1,2.0,1,3.0,1,3.0,1,20.0
TELA,2026-05-04,1.09,1.09,0.745605,239787.7,0,1.27,0.8801,0,,0,,0,,0,,0,,0,1.27,0.8801,0,,0,,0,,0,,0,,0,1.27,0.8801,0,,0,,0,,0,,0,,0,1.27,0.8801,0,,0,,0,,0,,0,
TNYA,2025-08-15,1.16,1.23,0.6507149999999999,2450570.0166666666,1,1.69,1.58,1,27.0,0,,0,,0,,0,,1,2.35,1.43,1,27.0,1,38.0,0,,0,,0,,1,2.35,0.7032,1,27.0,1,38.0,0,,0,,0,,1,2.35,0.7543,1,27.0,1,38.0,0,,0,,0,
TEAD,2026-05-06,1.15,1.12,0.7536,452702.63333333336,0,1.39,1.22,0,,0,,0,,0,,0,,0,1.39,1.22,0,,0,,0,,0,,0,,0,1.39,1.22,0,,0,,0,,0,,0,,0,1.39,1.22,0,,0,,0,,0,,0,
WETO,2026-05-22,1.07,1.0,0.5251750000000001,1936368.35,0,1.1,1.05,0,,0,,0,,0,,0,,0,1.1,1.05,0,,0,,0,,0,,0,,0,1.1,1.05,0,,0,,0,,0,,0,,0,1.1,1.05,0,,0,,0,,0,,0,
TMCWW,2025-05-23,1.05,1.12,0.42354254999999996,113520.13333333333,1,2.04,1.5099,1,17.0,1,21.0,0,,0,,0,,1,2.2894,0.65,1,17.0,1,21.0,0,,0,,0,,1,2.2894,1.33,1,17.0,1,21.0,0,,0,,0,,1,3.84,1.2,1,17.0,1,21.0,1,95.0,1,97.0,0,
TLPH,2025-10-06,1.1,1.14,0.6108199833333335,2813104.183333333,1,1.4501,1.32,0,,0,,0,,0,,0,,1,1.57,1.14,1,35.0,0,,0,,0,,0,,1,1.57,0.8108,1,35.0,0,,0,,0,,0,,0,1.57,0.7752,1,35.0,0,,0,,0,,0,
XRPNW,2025-10-17,1.07,1.09,0.6055483,70625.96666666666,1,1.2,1.0,0,,0,,0,,0,,0,,1,1.2,0.82,0,,0,,0,,0,,0,,1,1.2,0.68,0,,0,,0,,0,,0,,0,1.2,0.8,0,,0,,0,,0,,0,
ZTEK,2026-01-12,1.06,1.04,0.7632950166666667,58185.46666666667,1,1.045,0.5702,0,,0,,0,,0,,0,,1,1.045,0.5551,0,,0,,0,,0,,0,,1,1.1,0.719,0,,0,,0,,0,,0,,0,1.1,0.5101,0,,0,,0,,0,,0,
TRON,2024-12-04,1.16,0.8862,0.6999529166666666,640048.85,1,0.8862,0.455,0,,0,,0,,0,,0,,1,1.09,0.3975,0,,0,,0,,0,,0,,1,1.09,0.282,0,,0,,0,,0,,0,,1,12.8,4.99,1,131.0,1,131.0,1,131.0,1,131.0,1,131.0
TRON,2025-06-12,1.18,1.2,0.45576750000000005,440695.35,1,12.8,10.855,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,1,12.8,3.14,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,1,12.8,2.74,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0,1,12.8,1.37,1,2.0,1,2.0,1,2.0,1,2.0,1,2.0
VWAVW,2025-10-17,1.11,1.6,0.3368975166666666,234956.55,1,2.49,1.02,1,1.0,1,3.0,1,4.0,0,,0,,1,4.09,3.145,1,1.0,1,3.0,1,4.0,1,57.0,0,,1,4.24,1.61,1,1.0,1,3.0,1,4.0,1,57.0,0,,0,4.24,1.02,1,1.0,1,3.0,1,4.0,1,57.0,0,
TOMZ,2024-12-27,1.05,1.01,0.7856383,113320.26666666666,1,1.5,1.0,1,15.0,0,,0,,0,,0,,1,1.5,0.8325,1,15.0,0,,0,,0,,0,,1,1.5,0.8553,1,15.0,0,,0,,0,,0,,1,1.5,0.9898,1,15.0,0,,0,,0,,0,
TOMZ,2025-06-02,1.12,1.13,0.809557,73288.43333333333,1,1.2,0.9602,0,,0,,0,,0,,0,,1,1.2,0.8303,0,,0,,0,,0,,0,,1,1.2,1.0,0,,0,,0,,0,,0,,1,1.2,0.701,0,,0,,0,,0,,0,
TOMZ,2026-06-01,1.06,1.05,0.6716491666666666,596954.3333333334,0,1.081,1.025,0,,0,,0,,0,,0,,0,1.081,1.025,0,,0,,0,,0,,0,,0,1.081,1.025,0,,0,,0,,0,,0,,0,1.081,1.025,0,,0,,0,,0,,0,
VCICW,2025-09-08,1.07,1.15,0.25519485,25734.5,1,2.1,2.05,1,3.0,1,30.0,0,,0,,0,,1,2.1,1.85,1,3.0,1,30.0,0,,0,,0,,1,2.61,1.44,1,3.0,1,30.0,1,80.0,0,,0,,0,2.61,1.22,1,3.0,1,30.0,1,80.0,0,,0,
XMAX,2025-04-25,1.07,1.08,0.6120331,573336.1166666667,1,1.6723,1.22,1,18.0,0,,0,,0,,0,,1,3.59,2.67,1,18.0,1,38.0,1,52.0,1,55.0,0,,1,3.59,2.67,1,18.0,1,38.0,1,52.0,1,55.0,0,,1,6.23,5.8,1,18.0,1,38.0,1,52.0,1,55.0,1,92.0
TRIB,2025-08-12,1.13,1.08,0.7124727666666667,898396.4666666667,1,3.44,1.14,1,2.0,1,2.0,1,2.0,1,2.0,0,,1,3.44,0.992,1,2.0,1,2.0,1,2.0,1,2.0,0,,1,3.44,0.9387,1,2.0,1,2.0,1,2.0,1,2.0,0,,1,3.44,0.6,1,2.0,1,2.0,1,2.0,1,2.0,0,
RPID,2024-10-28,1.07,1.07,0.8558183166666667,72134.78333333334,1,1.34,1.04,0,,0,,0,,0,,0,,1,1.49,1.43,0,,0,,0,,0,,0,,1,4.0443,2.25,1,61.0,1,63.0,1,67.0,1,67.0,0,,1,4.0443,3.4,1,61.0,1,63.0,1,67.0,1,67.0,0,
ONMD,2024-12-02,1.07,1.01,0.7623958166666667,236329.68333333332,1,1.56,1.09,1,14.0,0,,0,,0,,0,,1,1.56,0.9095,1,14.0,0,,0,,0,,0,,1,1.56,0.4959,1,14.0,0,,0,,0,,0,,1,1.56,0.7802,1,14.0,0,,0,,0,,0,
QUBT,2024-10-21,1.14,1.18,0.6670099999999999,584632.05,1,9.2,6.17,1,6.0,1,17.0,1,17.0,1,17.0,1,23.0,1,27.15,9.83,1,6.0,1,17.0,1,17.0,1,17.0,1,23.0,1,27.15,5.26,1,6.0,1,17.0,1,17.0,1,17.0,1,23.0,1,27.15,18.94,1,6.0,1,17.0,1,17.0,1,17.0,1,23.0
JBDI,2025-05-08,1.1,1.14,0.7322875666666666,401088.7,1,1.48,1.02,0,,0,,0,,0,,0,,1,1.48,0.96,0,,0,,0,,0,,0,,1,3.0,1.7,1,85.0,1,85.0,1,85.0,1,85.0,0,,1,3.0,0.6205,1,85.0,1,85.0,1,85.0,1,85.0,0,
IRWD,2025-08-13,1.09,1.08,0.7221950000000003,2185632.2,1,1.515,1.27,1,28.0,0,,0,,0,,0,,1,2.23,2.05,1,28.0,1,57.0,0,,0,,0,,1,3.93,3.13,1,28.0,1,57.0,1,62.0,1,64.0,0,,1,5.78,4.44,1,28.0,1,57.0,1,62.0,1,64.0,1,98.0
REE,2025-10-13,1.06,1.06,0.7296632999999999,103449.66666666667,1,1.7572,0.7514,1,3.0,0,,0,,0,,0,,1,1.7572,0.801,1,3.0,0,,0,,0,,0,,1,1.7572,0.575,1,3.0,0,,0,,0,,0,,0,1.7572,0.428,1,3.0,0,,0,,0,,0,
SJ,2026-01-20,1.1,1.12,0.6277273666666666,36591.5,1,1.58,1.2199,1,5.0,0,,0,,0,,0,,1,1.63,1.28,1,5.0,0,,0,,0,,0,,1,1.63,1.18,1,5.0,0,,0,,0,,0,,0,1.63,1.16,1,5.0,0,,0,,0,,0,
RGC,2025-03-20,1.18421,1.41316,0.15408618166666668,23104962.666666668,1,2.14211,1.61184,1,1.0,1,29.0,0,,0,,0,,1,83.6,60.0,1,1.0,1,29.0,1,31.0,1,32.0,1,32.0,1,83.6,14.43,1,1.0,1,29.0,1,31.0,1,32.0,1,32.0,1,83.6,16.24,1,1.0,1,29.0,1,31.0,1,32.0,1,32.0
PMEC,2025-04-29,1.05,1.04,0.7709838666666665,212008.83333333334,1,1.4,1.1498,0,,0,,0,,0,,0,,1,1.645,1.47,1,47.0,0,,0,,0,,0,,1,1.89,1.87,1,47.0,0,,0,,0,,0,,1,2.44,0.9501,1,47.0,1,117.0,1,118.0,0,,0,
NAUT,2025-10-15,1.1,1.13,0.752075,277114.73333333334,1,2.54,2.27,1,4.0,1,23.0,1,25.0,0,,0,,1,2.54,1.99,1,4.0,1,23.0,1,25.0,0,,0,,1,3.08,2.89,1,4.0,1,23.0,1,25.0,1,90.0,0,,0,4.3101,2.38,1,4.0,1,23.0,1,25.0,1,90.0,0,
RLMD,2025-08-29,1.12,1.13,0.6465599999999999,300279.68333333335,1,2.84,2.02,1,1.0,1,20.0,1,23.0,0,,0,,1,5.12,4.3,1,1.0,1,20.0,1,23.0,1,50.0,1,57.0,1,5.12,4.43,1,1.0,1,20.0,1,23.0,1,50.0,1,57.0,1,8.0,7.03,1,1.0,1,20.0,1,23.0,1,50.0,1,57.0
PDSB,2026-04-09,1.07,1.09,0.7364675,642442.8666666667,1,1.55,1.16,1,25.0,0,,0,,0,,0,,0,1.55,1.02,1,25.0,0,,0,,0,,0,,0,1.55,1.02,1,25.0,0,,0,,0,,0,,0,1.55,1.02,1,25.0,0,,0,,0,,0,
SLNH,2025-07-10,1.07,1.07,0.7057466666666665,716049.3166666667,1,1.72,0.448,1,1.0,0,,0,,0,,0,,1,3.5,2.22,1,1.0,1,51.0,1,52.0,1,53.0,0,,1,5.1399,1.67,1,1.0,1,51.0,1,52.0,1,53.0,1,69.0,1,5.1399,0.6161,1,1.0,1,51.0,1,52.0,1,53.0,1,69.0
PRZO,2025-06-06,1.1,1.165,0.7906180500000002,614440.9333333333,1,2.145,1.9,1,19.0,1,27.0,0,,0,,0,,1,2.145,1.29,1,19.0,1,27.0,0,,0,,0,,1,2.145,1.63,1,19.0,1,27.0,0,,0,,0,,1,2.145,1.225,1,19.0,1,27.0,0,,0,,0,
IBIO,2025-10-21,1.11,1.03,0.7878266666666666,1063634.8666666667,1,1.81,1.04,1,1.0,0,,0,,0,,0,,1,3.82,2.2,1,1.0,1,33.0,1,34.0,1,35.0,0,,1,3.82,2.69,1,1.0,1,33.0,1,34.0,1,35.0,0,,0,3.82,1.825,1,1.0,1,33.0,1,34.0,1,35.0,0,
KTTA,2025-11-26,1.06,1.425,0.7226283499999998,1516058.0833333333,1,2.06,0.905,1,1.0,1,1.0,0,,0,,0,,1,2.06,0.8412,1,1.0,1,1.0,0,,0,,0,,1,2.06,0.72,1,1.0,1,1.0,0,,0,,0,,0,2.06,0.585,1,1.0,1,1.0,0,,0,,0,
OCGN,2025-06-06,1.06,1.13,0.716675,4180073.2666666666,1,1.29,1.03,0,,0,,0,,0,,0,,1,1.29,1.05,0,,0,,0,,0,,0,,1,1.9,1.67,1,74.0,0,,0,,0,,0,,1,1.96,1.855,1,74.0,0,,0,,0,,0,
SAFX,2026-04-13,1.05,1.02,0.2720575,28769663.65,1,1.02,0.4493,0,,0,,0,,0,,0,,0,1.02,0.4023,0,,0,,0,,0,,0,,0,1.02,0.4023,0,,0,,0,,0,,0,,0,1.02,0.4023,0,,0,,0,,0,,0,
NCPL,2026-05-26,1.07,1.295,0.42982833333333337,2963079.3666666667,0,1.87,0.932,1,1.0,0,,0,,0,,0,,0,1.87,0.932,1,1.0,0,,0,,0,,0,,0,1.87,0.932,1,1.0,0,,0,,0,,0,,0,1.87,0.932,1,1.0,0,,0,,0,,0,
MTEKW,2024-12-30,1.1999,1.26,0.20794204999999996,25959.266666666666,1,1.879,0.321,1,3.0,0,,0,,0,,0,,1,1.879,0.219375,1,3.0,0,,0,,0,,0,,1,1.879,0.22,1,3.0,0,,0,,0,,0,,1,1.879,0.20785,1,3.0,0,,0,,0,,0,
LXRX,2025-07-09,1.07,1.07,0.6887366666666668,4963059.283333333,1,1.43,1.13,0,,0,,0,,0,,0,,1,1.45,1.38,0,,0,,0,,0,,0,,1,1.66,1.44,1,62.0,0,,0,,0,,0,,1,1.83,1.63,1,62.0,0,,0,,0,,0,
LAES,2024-12-11,1.15,1.71,0.42557831666666673,2252861.6,1,11.0,3.73,1,1.0,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,2.79,1,1.0,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,2.61,1,1.0,1,3.0,1,3.0,1,3.0,1,8.0,1,11.0,2.55,1,1.0,1,3.0,1,3.0,1,3.0,1,8.0
IMRN,2026-05-14,1.11,1.05,0.8051009166666667,26932.05,0,1.6,1.25,1,10.0,0,,0,,0,,0,,0,1.6,1.25,1,10.0,0,,0,,0,,0,,0,1.6,1.25,1,10.0,0,,0,,0,,0,,0,1.6,1.25,1,10.0,0,,0,,0,,0,
