month,symbol,date,rule,ret,tp_hit
2020-11,FTEK,2020-11-23,30d/sub$2.0/$2.00-$3.00/+50%/90d,-0.5356507413509062,False
2020-11,TUSK,2020-11-17,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,IMMP,2020-11-06,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,KOPN,2020-11-30,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-11,SND,2020-11-25,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,HGBL,2020-12-07,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,GTIM,2020-12-16,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,USIO,2020-12-09,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,YTRA,2020-12-03,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.14980955500444518,False
2020-12,IRIX,2020-12-28,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,OCGN,2020-12-23,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2020-12,RCMT,2020-12-28,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2021-01,GSM,2021-01-14,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2021-01,AIFA,2021-01-26,30d/sub$2.0/$2.00-$3.00/+50%/90d,0.48,True
2021-02,HNRG,2021-02-16,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.2895238095238095,False
2021-02,GERN,2021-02-02,30d/sub$2.0/$2.00-$2.50/+50%/90d,-0.32925312994675504,False
2021-02,ENTX,2021-02-08,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.48,True
2021-02,TH,2021-02-08,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.48,True
2021-02,TROO,2021-02-12,30d/sub$2.0/$2.00-$2.50/+50%/90d,-0.02,False
2021-02,MMLP,2021-02-08,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.28350274499490435,False
2021-02,SVRA,2021-02-08,30d/sub$2.0/$2.00-$2.50/+50%/90d,0.48,True
2021-02,REAX,2021-02-05,30d/sub$2.0/$2.00-$2.50/+50%/90d,-0.0914285714285714,False
2022-02,BWEN,2022-02-25,30d/sub$2.0/$2.00-$3.00/+50%/30d,-0.044875621890547154,False
2022-02,ONCY,2022-02-10,30d/sub$2.0/$2.00-$3.00/+50%/30d,-0.21306930693069312,False
2022-03,APWC,2022-03-08,30d/sub$2.0/$2.00-$3.00/+20%/30d,-0.2519587628865979,False
2022-03,TMC,2022-03-08,30d/sub$2.0/$2.00-$3.00/+20%/30d,0.17999999999999997,True
2022-03,TRVI,2022-03-22,30d/sub$2.0/$2.00-$3.00/+20%/30d,0.17999999999999997,True
2022-03,TUSK,2022-03-08,30d/sub$2.0/$2.00-$3.00/+20%/30d,0.17999999999999997,True
2022-03,SWAG,2022-03-28,30d/sub$2.0/$2.00-$3.00/+20%/30d,-0.17463917525773195,False
2022-04,ADMA,2022-04-04,30d/sub$2.0/$2.00-$3.00/+15%/60d,-0.044630541871921156,False
2022-04,CRDL,2022-04-14,30d/sub$2.0/$2.00-$3.00/+15%/60d,-0.4219607843137255,False
2022-04,CRVS,2022-04-04,30d/sub$2.0/$2.00-$3.00/+15%/60d,-0.5370243902439025,False
2022-06,FEMY,2022-06-27,45d/sub$2.0/$2.00-$2.50/+50%/90d,-0.49325102880658445,False
2022-06,YTRA,2022-06-22,45d/sub$2.0/$2.00-$2.50/+50%/90d,0.11725490196078427,False
2022-07,AACG,2022-07-21,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2022-07,CABA,2022-07-08,30d/sub$1.5/$1.50-$2.00/+20%/60d,0.17999999999999997,True
2022-07,LPTH,2022-07-21,30d/sub$1.5/$1.50-$2.00/+20%/60d,-0.4314285714285714,False
2022-08,CLWT,2022-08-05,30d/sub$1.5/$1.50-$2.00/+10%/60d,0.08000000000000008,True
2022-08,BLIN,2022-08-24,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.1441830065359477,False
2022-08,APWC,2022-08-15,30d/sub$1.5/$1.50-$2.00/+10%/60d,0.08000000000000008,True
2022-08,CBAT,2022-08-12,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.2971084337349398,False
2022-08,CNTB,2022-08-08,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.48220125786163526,False
2022-08,AQST,2022-08-12,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.49794285714285713,False
2022-08,SMMT,2022-08-22,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.2577622377622377,False
2022-08,ONCY,2022-08-25,30d/sub$1.5/$1.50-$2.00/+10%/60d,0.08000000000000008,True
2022-08,MAMA,2022-08-23,30d/sub$1.5/$1.50-$2.00/+10%/60d,-0.3028947368421052,False
2022-08,MTEK,2022-08-02,30d/sub$1.5/$1.50-$2.00/+10%/60d,0.08000000000000008,True
2022-09,BEAT,2022-09-15,60d/sub$2.0/$2.00-$2.50/+10%/60d,0.08000000000000008,True
2022-09,SPRO,2022-09-22,60d/sub$2.0/$2.00-$2.50/+10%/60d,-0.27827814569536435,False
2022-11,CTSO,2022-11-02,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,HGBL,2022-11-09,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,ARDX,2022-11-18,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,CGTX,2022-11-25,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,CABA,2022-11-01,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,UCL,2022-11-15,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,TBLA,2022-11-11,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,WRAP,2022-11-15,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,TROO,2022-11-07,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,SJ,2022-11-28,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,RAVE,2022-11-01,30d/sub$2.0/$2.00-$2.50/+10%/90d,-0.33944444444444455,False
2022-11,NXL,2022-11-21,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,NAGE,2022-11-07,30d/sub$2.0/$2.00-$2.50/+10%/90d,-0.3141176470588235,False
2022-11,PGEN,2022-11-23,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-11,LUCD,2022-11-09,30d/sub$2.0/$2.00-$2.50/+10%/90d,0.08000000000000008,True
2022-12,EDTK,2022-12-21,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.09184210526315774,False
2022-12,BYSI,2022-12-15,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2022-12,MAMA,2022-12-19,60d/sub$1.5/$1.50-$2.00/+50%/90d,0.48,True
2022-12,ONFO,2022-12-13,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.22359281437125741,False
2023-01,ADAG,2023-01-06,60d/sub$1.5/$1.50-$2.00/+50%/90d,-0.19682926829268285,False
