symbol,breakout_date,next_open,max_high_30d,min_low_30d,close_30d,latest_close,days_since,ret_30d_close,ret_to_now,max_gain_30d,max_dd_30d,tpsl_outcome,tpsl_net
SCZM,2025-01-30,1.0551999807357788,1.4880000352859497,0.9571999907493592,1.4296000003814695,6.400000095367432,491,0.35481427831777057,5.065201110887801,0.4101592707084627,-0.09287338113680144,0.35481427831777057,0.33481427831777055
SKYX,2024-10-07,1.1799999475479126,1.5,1.0099999904632568,1.0700000524520874,1.0700000524520874,606,-0.09322025422493396,-0.09322025422493396,0.2711864971833773,-0.14406776664517873,-0.09322025422493396,-0.11322025422493397
SLNH,2025-07-10,1.0700000524520874,1.7200000286102295,0.4199999868869781,0.449999988079071,1.340000033378601,330,-0.5794392840936602,0.25233641840274945,0.607476583453016,-0.6074766670109253,-0.2,-0.22
SLNH,2025-09-19,1.2100000381469729,5.139999866485596,1.149999976158142,3.490000009536743,1.340000033378601,259,1.8842974376111794,0.10743800920098634,3.2479336400328815,-0.049586826526647476,0.5,0.48
STAK,2026-03-02,1.1050000190734863,1.7200000286102295,0.481000006198883,0.8159999847412109,4.929999828338623,95,-0.26153848809395897,3.46153822917786,0.5565610849965457,-0.5647058842567361,-0.2,-0.22
SY,2024-10-02,1.1505767728837024,1.2085889354472852,0.642002409882194,0.7734969258308411,1.9299999475479128,611,-0.3277311483594286,0.6774195282169082,0.05042007098595103,-0.44201688664969585,-0.2,-0.22
TMC,2024-12-27,1.1100000143051147,1.940000057220459,1.0199999809265137,1.7599999904632568,5.119999885559082,525,0.5855855565597059,3.6126124500676866,0.7477477767736274,-0.08108111010696084,0.5,0.48
TRON,2024-12-04,0.8859999775886536,0.8859999775886536,0.4059999883174896,0.4550000131130218,1.75,548,-0.486455954150976,0.9751693501875898,0.0,-0.5417607239421571,-0.2,-0.22
TRON,2025-06-12,1.2000000476837158,12.800000190734863,1.034000039100647,10.854999542236328,1.75,358,8.045832592414515,0.4583332753843754,9.666666401757144,-0.1383333349890179,0.5,0.48
XMAX,2025-04-25,1.0800000429153442,1.6699999570846558,0.9100000262260436,1.2200000286102295,8.15999984741211,406,0.129629611233135,6.555555114039686,0.5462961951155763,-0.15740741660565483,0.5,0.48
