symbol,date,today_close,next_open,consolidation_avg,consolidation_avg_vol,horizon_complete_30,max_high_30,close_30,hit_tp1.5_30,days_to_tp1.5_30,hit_tp2.0_30,days_to_tp2.0_30,hit_tp2.4_30,days_to_tp2.4_30,hit_tp3.0_30,days_to_tp3.0_30,hit_tp5.0_30,days_to_tp5.0_30,horizon_complete_60,max_high_60,close_60,hit_tp1.5_60,days_to_tp1.5_60,hit_tp2.0_60,days_to_tp2.0_60,hit_tp2.4_60,days_to_tp2.4_60,hit_tp3.0_60,days_to_tp3.0_60,hit_tp5.0_60,days_to_tp5.0_60,horizon_complete_90,max_high_90,close_90,hit_tp1.5_90,days_to_tp1.5_90,hit_tp2.0_90,days_to_tp2.0_90,hit_tp2.4_90,days_to_tp2.4_90,hit_tp3.0_90,days_to_tp3.0_90,hit_tp5.0_90,days_to_tp5.0_90,horizon_complete_180,max_high_180,close_180,hit_tp1.5_180,days_to_tp1.5_180,hit_tp2.0_180,days_to_tp2.0_180,hit_tp2.4_180,days_to_tp2.4_180,hit_tp3.0_180,days_to_tp3.0_180,hit_tp5.0_180,days_to_tp5.0_180
MVST,2024-12-02,1.06,1.02,0.40058666666666665,13187942.866666667,1,2.87,2.16,1,1.0,1,15.0,1,17.0,0,,0,,1,2.87,1.48,1,1.0,1,15.0,1,17.0,0,,0,,1,2.87,1.7,1,1.0,1,15.0,1,17.0,0,,0,,1,4.7196,2.71,1,1.0,1,15.0,1,17.0,1,110.0,0,
OPTXW,2026-01-22,1.05,1.09,0.33286836666666664,123971.63333333333,1,1.94,0.9,1,9.0,0,,0,,0,,0,,1,2.0,1.5,1,9.0,1,56.0,0,,0,,0,,1,2.5,2.3899,1,9.0,1,56.0,1,90.0,0,,0,,0,3.095,2.05,1,9.0,1,56.0,1,90.0,1,92.0,0,
SKYE,2026-04-27,1.06,1.06,0.7160266666666666,223416.16666666666,0,1.07,0.7332,0,,0,,0,,0,,0,,0,1.07,0.7332,0,,0,,0,,0,,0,,0,1.07,0.7332,0,,0,,0,,0,,0,,0,1.07,0.7332,0,,0,,0,,0,,0,
PMTRW,2025-10-21,1.05,0.99,0.6503599999999999,18689.7,1,1.1,0.8199,0,,0,,0,,0,,0,,1,1.29,0.67,0,,0,,0,,0,,0,,1,1.29,0.77,0,,0,,0,,0,,0,,0,1.29,0.9,0,,0,,0,,0,,0,
LSH,2025-08-29,1.14,1.09,0.8518900333333332,19491.366666666665,1,1.68,1.32,1,18.0,0,,0,,0,,0,,1,1.68,0.8601,1,18.0,0,,0,,0,,0,,1,1.68,0.812,1,18.0,0,,0,,0,,0,,1,1.68,0.575,1,18.0,0,,0,,0,,0,
NRSN,2024-09-09,1.11,1.12,0.7740103666666668,387644.1666666667,1,1.455,1.1,0,,0,,0,,0,,0,,1,1.455,1.13,0,,0,,0,,0,,0,,1,1.455,1.09,0,,0,,0,,0,,0,,1,1.6472,1.5,1,174.0,0,,0,,0,,0,
IVVD,2025-02-03,1.06,1.26,0.4484366666666667,1544511.0,1,2.74,0.8058,1,2.0,1,2.0,1,3.0,0,,0,,1,2.74,0.6302,1,2.0,1,2.0,1,3.0,0,,0,,1,2.74,0.8468,1,2.0,1,2.0,1,3.0,0,,0,,1,2.74,2.04,1,2.0,1,2.0,1,3.0,0,,0,
INVZ,2024-12-16,1.17,1.2,0.6443533333333333,3343864.6,1,3.14,1.55,1,5.0,1,13.0,1,14.0,1,14.0,0,,1,3.14,0.6742,1,5.0,1,13.0,1,14.0,1,14.0,0,,1,3.14,0.739,1,5.0,1,13.0,1,14.0,1,14.0,0,,1,3.14,1.86,1,5.0,1,13.0,1,14.0,1,14.0,0,
RANI,2026-05-11,1.07,1.08,0.8753566666666668,1064527.9,0,1.14,0.8295,0,,0,,0,,0,,0,,0,1.14,0.8295,0,,0,,0,,0,,0,,0,1.14,0.8295,0,,0,,0,,0,,0,,0,1.14,0.8295,0,,0,,0,,0,,0,
LIMN,2026-02-03,1.07,1.15,0.7114333333333333,282904.6,1,2.83,0.2122,1,1.0,1,1.0,1,2.0,0,,0,,1,2.83,0.2041,1,1.0,1,1.0,1,2.0,0,,0,,0,2.83,0.1422,1,1.0,1,1.0,1,2.0,0,,0,,0,2.83,0.1422,1,1.0,1,1.0,1,2.0,0,,0,
