symbol,date,prev_close,rth_open,gap_pct,long_ret,short_ret,short_eod,rth_close,intraday_high_x_open
MASK,2026-05-28,1.3799999952316284,1.865,0.3514492800320379,-0.03,0.05093833780160861,-1.213297587131367,4.1278,3.60857908847185
MDAI,2024-11-29,1.4600000381469729,1.52,0.04109586320914005,-0.032500000000000084,0.05,-0.26315789473684204,1.92,1.5460526315789473
MLGO,2026-05-20,3.8299999237060542,3.79,-0.010443844517717071,0.05,-0.03,-0.4171503957783642,5.371,1.812664907651715
MOBX,2026-03-03,1.7699999809265137,4.578,1.5864407058375378,-0.03,-0.03,-1.402795980777632,11.0,2.707514198339886
MRM,2025-09-08,1.6399999856948853,1.585,-0.03353657693574996,-0.03,-0.03,-0.23343848580441648,1.955,1.3817034700315458
MTVA,2025-09-15,7.656000137329102,7.557,-0.012931052188256409,0.05,-0.03,-1.183551673944687,16.5011,2.5180494905385733
MVST,2024-12-04,1.409999966621399,1.44,0.021276619921124063,0.05,-0.03,0.11111111111111106,1.28,1.3541666666666667
NAMM,2026-01-21,0.9800000190734864,1.0,0.020408143405366452,0.05,-0.03,-1.2694,2.2694,2.83
NAMM,2026-01-22,2.259999990463257,2.14,-0.05309734113700548,-0.03,-0.03,-0.9157476635514019,4.0997,2.439252336448598
NEXR,2026-05-29,1.159999966621399,1.58,0.36206900471030856,-0.03,-0.03,0.1392405063291139,1.36,2.069620253164557
NUAI,2025-09-26,1.3799999952316284,1.72,0.2463768159008608,-0.03,-0.03,-0.0761046511627907,1.8509,1.4825581395348837
NUAI,2025-10-09,1.5399999618530271,1.56,0.012987038079473434,0.05,-0.03,-0.8076923076923075,2.82,2.0384615384615383
OPEN,2025-08-14,2.4200000762939453,2.2161,-0.08425622721723358,0.05,-0.03,-0.33188935517350304,2.9516,1.3362664139704887
OPRX,2025-03-12,4.139999866485596,4.85,0.1714976223216924,0.06012371134020644,-0.03298969072164959,-0.29175257731958765,6.265,1.3896907216494847
ORGO,2025-02-28,3.069999933242798,4.06,0.32247559878982757,0.05,-0.03,-0.5295566502463056,6.21,1.576354679802956
PCLA,2025-12-23,3.690000057220459,5.58,0.5121950985017623,-0.03,0.05,-0.9360215053763442,10.803,2.5268817204301075
PCLA,2026-01-06,9.0,8.997,-0.0003333333333332966,0.05,-0.048682894298099466,-0.08536178726242089,9.765,1.3244414804934979
PCLA,2026-05-26,6.619999885559082,6.2,-0.06344409257094896,-0.03,-0.03,-0.8854838709677418,11.69,2.2741935483870965
PDSB,2025-02-26,1.2599999904632568,1.2,-0.047619040410624924,0.05,-0.03,-0.2750000000000001,1.53,1.4666666666666668
PDYN,2024-10-08,1.8799999952316284,1.88,2.5363677824685738e-09,0.05,-0.03,-0.47340425531914904,2.77,1.622340425531915
PDYN,2024-11-22,2.0,2.22,0.1100000000000001,-0.03,-0.03,-1.0675675675675673,4.59,2.2747747747747744
PGEN,2025-11-14,3.859999895095825,3.78,-0.02072536198704722,0.05,-0.03,-0.28174603174603174,4.845,1.3730158730158732
PLYX,2026-03-10,3.5199999809265137,3.29,-0.0653409040263615,0.06990881458966558,-0.03,-0.8155015197568388,5.973,2.2461702127659575
PONY,2025-04-28,7.010000228881836,7.41,0.057061306427655945,-0.03,-0.03,-0.39136302294197034,10.31,1.5310391363022942
PRCH,2024-10-28,1.2799999713897705,1.56,0.21875002724118597,-0.03,0.05,-0.40384615384615374,2.19,1.5743589743589743
PRLD,2025-11-03,1.590000033378601,1.58,-0.006289329036900604,0.05,-0.03,-1.5189873417721518,3.98,2.6708860759493667
